Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj	gleason_pval	gleason_pval.adj
alphaLinolenic	Omega-3	0.00162290287682718	0.0113603201377903	0.0130704266070681	0.0457464931247384	0.427862375630046	0.499172771568387	0.336119108389118	0.499172771568387	0.384611173429053	0.499172771568387	0.587783204830423	0.587783204830423	0.410259929317702	0.499172771568387
Docosahexaenoic	Omega-3	0.0629405310962144	0.1468612392245	0.00284272101566229	0.019899047109636	0.175848710789257	0.24618819510496	0.00811334675628116	0.028396713646984	0.158709577573831	0.24618819510496	0.674028795010635	0.674028795010635	0.264955340754125	0.309114564213145
Docosapentaenoicn3	Omega-3	0.0155152628626346	0.108606840038442	0.795334709018168	0.795334709018168	0.330865799773259	0.463212119682562	0.251335615717981	0.439837327506466	0.13000579445727	0.303346853733631	0.762731386447668	0.795334709018168	0.0564579904510564	0.197602966578698
Eicosapentaenoic	Omega-3	0.934287915456251	0.934287915456251	0.00521377517961952	0.0182482131286683	0.0270432616497166	0.0631009438493387	0.0043018962778575	0.0182482131286683	0.0439845701100336	0.0769729976925588	0.31602345487406	0.368694030686404	0.183623210178418	0.257072494249785
Arachidonic	Omega-6	0.0961294945974644	0.530363794379236	0.169320850889604	0.530363794379236	0.43258547537906	0.534351863064551	0.623011743045295	0.623011743045295	0.303065025359563	0.530363794379236	0.271706965893826	0.530363794379236	0.458015882626758	0.534351863064551
Dihomoglinolenic	Omega-6	0.00413692002739232	0.0289584401917463	0.00874729363574639	0.0306155277251124	0.607756410986814	0.709049146151283	0.0460351336630037	0.0805614839102565	0.0401404954462697	0.0805614839102565	0.890451403914173	0.890451403914173	0.23567349800866	0.329942897212124
Docosapentaenoicn6	Omega-6	0.000685815822014683	0.00480071075410278	0.928658936812159	0.928658936812159	0.0227104197978246	0.0529909795282575	0.00237708570298193	0.00831979996043675	0.789568504023622	0.928658936812159	0.822095422565179	0.928658936812159	0.29416517295751	0.514789052675642
Docosatetraenoic	Omega-6	7.68039010060339e-05	0.000537627307042237	0.683573342320433	0.797502232707172	0.519966064106759	0.727952489749463	0.000415604289439231	0.00145461501303731	0.817479144294476	0.817479144294476	0.406380880484451	0.71116654084779	0.0505956867004698	0.118056602301096
Eicosadienoic	Omega-6	0.0193236282412673	0.135265397688871	0.12235701111322	0.290357392413551	0.550290730200447	0.690315216622528	0.591698757105024	0.690315216622528	0.242121415523693	0.423712477166463	0.750640641503078	0.750640641503078	0.12443888246295	0.290357392413551
gammaLinolenic	Omega-6	0.00218984245208397	0.0153288971645878	0.0823758633126068	0.288315521594124	0.841226867463873	0.945306934642554	0.790426308646059	0.945306934642554	0.205656109995281	0.359898192491742	0.945306934642554	0.945306934642554	0.184690023868557	0.359898192491742
Linoleic	Omega-6	0.000853228538150919	0.00597259976705643	0.0338944354642883	0.0790870160833393	0.252265447645654	0.353171626703915	0.238362995962454	0.353171626703915	0.00311525339662038	0.0109033868881713	0.629637571389063	0.734577166620573	0.819651083199346	0.819651083199346
Elaidic	trans	0.533772923313822	0.622735077199459	0.0980563925884881	0.171598687029854	0.691807686609916	0.691807686609916	0.325593934278586	0.45583150799002	0.0427646495148541	0.171598687029854	0.0737940266304972	0.171598687029854	0.0976937368785539	0.171598687029854
Palmitelaidic	trans	0.658509836171498	0.658509836171498	0.00852155530634191	0.0596508871443934	0.534074559855902	0.623086986498553	0.085151917507789	0.198687807518174	0.429084521475063	0.623086986498553	0.470373788413539	0.623086986498553	0.0385127770181834	0.134794719563642
