Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj
alphaLinolenic	Omega-3	8.15147069902095	1.81591920389579e-08	2.18271551499782e-07	0.00310209173600218	0.00325353224257378	0.340769511275488	0.511154266913233	0.0250899872442704	0.00524557210053478	2.20752519687696e-06	1.32451511812618e-05	0.0642835173577039	0.0207526159376933	0.00204811413796922	0.00614434241390767	-0.0218959039773982	0.0318986776505918	0.492730622980518	0.591276747576622	0.191126003414251	0.0914844561301466	0.0371413889349175	0.074282777869835	0.0161533887664674	0.0769354267032076	0.833774580606284	0.833774580606284
Docosahexaenoic	Omega-3	6.77596354196173	5.99269448731121e-07	4.79415558984897e-06	0.000763415835288808	0.0027551063253835	0.781811751980566	0.79867530111042	0.0216005482492239	0.00444197499730507	1.50354614353271e-06	9.02127686119624e-06	0.0206911008773987	0.017573412271754	0.239529629726247	0.479059259452493	0.0193220951779068	0.0270119494795577	0.474709980681903	0.712064971022854	0.254830249748905	0.0774694654813217	0.00106663234495863	0.00319989703487588	0.0166249591376065	0.0651492792917295	0.79867530111042	0.79867530111042
Docosapentaenoicn3	Omega-3	3.10926724277489	0.00526797914140076	0.00769388132118287	0.0008101894916847	0.00325443656388006	0.803490840169679	0.803490840169679	0.0114454605434377	0.00524703011055603	0.0295726017398895	0.0887178052196687	0.0343763706722787	0.0207583841401743	0.0982742806782144	0.147411421017322	0.0581859905313482	0.0319075439078442	0.0687454884675828	0.137490976935166	0.245698388381394	0.091509884291512	0.00746811963578735	0.0448087178147241	-0.0277123375492913	0.0769568109528133	0.718905554401177	0.803490840169679
Eicosapentaenoic	Omega-3	2.99838528703343	0.00682926063800249	0.00862643449010841	-0.00206629688692221	0.00518672065435783	0.690499552382077	0.761392940589311	0.0203027853661583	0.00836239358619172	0.0155002658505199	0.0611827604498819	0.029623031869045	0.0330834347689882	0.370953948491579	0.556430922737368	-0.0154488935788513	0.0508522792711422	0.761392940589311	0.761392940589311	0.339172048203141	0.145842820290466	0.020394253483294	0.0611827604498819	0.178007918915634	0.122649027881675	0.147236551332167	0.294473102664334
Arachidonic	Omega-6	8.15081970777415	1.81892959583152e-08	2.18271551499782e-07	0.00204896996804697	0.00223300494385498	0.359229517933471	0.431075421520165	0.0168649445344501	0.00360020665557499	3.52345723293949e-06	2.11407433976369e-05	0.0556506313074124	0.0142431949437618	0.000104735954633712	0.000314207863901136	0.0248956970980814	0.0218930994333285	0.255960106749137	0.383940160123706	0.0240578119895916	0.0627887562174264	0.701749632320321	0.701749632320321	0.074736168397545	0.0528032843620911	0.157513034097188	0.315026068194376
Dihomoglinolenic	Omega-6	5.92715270102108	5.13560919657152e-06	2.46509241435433e-05	0.00113554177190413	0.0028277218477037	0.68814937981693	0.68814937981693	0.0249055646679632	0.00455905081815117	7.04129468730233e-08	4.2247768123814e-07	0.0166144800045071	0.0180365894999084	0.357364472492503	0.536046708738755	0.0376346885375092	0.0277238954405078	0.175171992196077	0.525515976588232	-0.0326347877865667	0.0795113052636792	0.681637813862613	0.68814937981693	0.0730494444624232	0.0668663995716138	0.275094419325511	0.536046708738755
Docosapentaenoicn6	Omega-6	4.16945470426185	0.000411205878452003	0.00109654900920534	-0.00116561732540361	0.00393354136285648	0.767089098381932	0.855652028753184	0.0215759557954583	0.00634193033629714	0.000716156020931433	0.0021484680627943	0.0349449235690625	0.0250900458616064	0.1642359567042	0.3284719134084	0.134365226066009	0.038565706009346	0.000532284607084307	0.0021484680627943	0.0765669304176799	0.110605294620252	0.489063392651259	0.733595088976889	-0.0169283574630173	0.0930154246655564	0.855652028753184	0.855652028753184
Docosatetraenoic	Omega-6	3.84708854051626	0.000902722596984318	0.00173223678154087	0.00297789209995486	0.00338889062820846	0.379926999087124	0.530543010366377	0.0154937059659531	0.00546380635128774	0.00473696027392877	0.0142108808217863	0.0388964029334973	0.0216159977583082	0.0724865420006288	0.144973084001258	0.117422409531782	0.0332257748448859	0.000442826902817193	0.00265696141690316	-0.0307318234303199	0.0952905313029707	0.747188680406089	0.747188680406089	-0.0616377992434087	0.0801362110754636	0.442119175305314	0.530543010366377
Eicosadienoic	Omega-6	3.32387791218653	0.0031729872280406	0.00507677956486496	0.00234442907149403	0.00233404696843246	0.315594172786629	0.393382646619263	0.0101679827975252	0.00376311367034791	0.00709993972200186	0.0268710627454836	0.0199031687978291	0.0148876902716964	0.181799264513443	0.363598529026886	0.0224116085295929	0.0228837479749303	0.327818872182719	0.393382646619263	0.172134719123135	0.0656299066888435	0.0089570209151612	0.0268710627454836	0.0410286596374166	0.0551925987122309	0.457566284750834	0.457566284750834
gammaLinolenic	Omega-6	4.184727859294	0.000396094774154587	0.00109654900920534	-0.00407079858181245	0.003920785782746	0.299594304955214	0.398403535535172	0.0244025494146403	0.00632136489843913	0.000126360958155901	0.000758165748935406	0.0242815378178812	0.0250086845486213	0.33200294627931	0.398403535535172	0.0821286749111702	0.0384406461950106	0.033068675427727	0.099206026283181	-0.0197117449861117	0.110246626802622	0.858161573234634	0.858161573234634	0.159420282305813	0.0927137967960657	0.0860751242929351	0.17215024858587
Linoleic	Omega-6	6.12871749118615	3.08695921946711e-06	1.85217553168027e-05	0.0010884894430902	0.00223772541089074	0.626853934852073	0.626853934852073	0.0120291383635332	0.00360781732248656	0.000911749593212088	0.00547049755927253	0.0362198649279343	0.0142733043854811	0.0114302918781952	0.0342908756345857	-0.0356007152628846	0.0219393804120026	0.105216433212579	0.157824649818868	0.146625611035843	0.0629214886839426	0.0201429963814227	0.0402859927628454	0.0479619369552999	0.0529149080124987	0.365113281954736	0.438135938345683
Elaidic	trans	2.3396850174741	0.0305996581460934	0.0349710378812496	0.00405092564183632	0.00362005176551541	0.263607002780098	0.395410504170147	0.0167778435415088	0.00583650049481528	0.00419775445269417	0.025186526716165	0.0191021653954593	0.0230904562681943	0.408431506086126	0.490117807303351	0.0231078451335843	0.0354921530623231	0.5152675020257	0.5152675020257	-0.118349552356459	0.101790436436299	0.245452554898512	0.395410504170147	-0.1450927780259	0.0856024180806355	0.0906357377644937	0.271907213293481
Palmitelaidic	trans	3.83115795152708	0.000938294923334637	0.00173223678154087	0.0083910829079494	0.00421815628916064	0.0471540424900618	0.141462127470185	0.0240076364030001	0.00680080641481904	0.000449360830966933	0.0026961649858016	0.0433751277282865	0.0269054587161145	0.107493804019687	0.214987608039374	-0.0207642512769714	0.0413561623847041	0.615805010346033	0.738966012415239	0.0251329574678582	0.118608240279969	0.832262584486128	0.832262584486128	0.088918561143215	0.0997456394502085	0.373066950947173	0.55960042642076
Linoelaidic	trans	3.32474501956189	0.00316645844757957	0.00507677956486496	0.00381278401286249	0.00287062801123033	0.184648387219359	0.276972580829038	0.0155916791179566	0.00462822713409209	0.000806532092541062	0.00483919255524637	0.0268822116320123	0.0183102659434292	0.142622013950247	0.276972580829038	0.0295241756592199	0.0281445612822813	0.294619537127372	0.331957126264166	-0.0783782648301252	0.08071776235161	0.331957126264166	0.331957126264166	0.0922874740698074	0.0678809904079743	0.174517211273221	0.276972580829038
