Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
alphaLinolenic	Omega-3	-0.0181223379854538	-0.00904036935340022	4.15992786533658e-05	-0.0185216056839317	-0.00282204540038329	0.0128775148831651	-0.219938904596953	-0.0652560569040597	0.089426790788834	-0.179585115164062	-0.0642066664851196	0.0511717821938227	-0.251900134584777	-0.048276787702426	0.155346559179925	-0.257376473832267	-0.103534873194801	0.0503067274426656
Docosahexaenoic	Omega-3	0.000895230072564785	0.00769897137475847	0.0145027126769521	-0.0238237416205991	-0.0120624428257028	-0.000301144030806536	-0.0222507894638026	0.0936296019168385	0.20950999329748	-0.1283175047946	-0.0418819368617416	0.0445536310711164	-0.231201759622895	-0.0786576767921332	0.0738864060386288	-0.00657505691536084	0.108675115669307	0.223925288253974
Docosapentaenoicn3	Omega-3	-0.00707702037539571	-0.00160430253118957	0.00386841531301658	-0.0189772686398366	-0.00951684577438818	-5.64229089397156e-05	-0.0874151251858974	0.00579545668880623	0.0990060385635098	-0.0928501894247362	-0.0233241075251016	0.046201974374533	-0.1467059073567	-0.0240041926594048	0.0986975220378903	-0.0876601825720966	0.00504347090875903	0.0977471243896147
Eicosapentaenoic	Omega-3	-0.00501089640143632	0.00563534007622481	0.0162815765538859	-0.0455770346543412	-0.0271734001401181	-0.00876976562589498	-0.057707220985604	0.123618022724715	0.304943266435033	-0.171575810987057	-0.0363247108316984	0.0989263893236605	-0.37548032076299	-0.136785122496031	0.101910075770928	6.85791776672273e-07	0.1803397870201	0.360678888248423
Arachidonic	Omega-6	-0.00790471538695307	-0.00345884279484795	0.000987029797257179	-0.00497347406644491	0.0027118910345076	0.0103972561354601	-0.0985612921681381	-0.0228397981960644	0.0528816957760092	-0.0344873163728706	0.0219935969052155	0.0784745101833017	-0.140048722669218	-0.0403695128311791	0.0593096970068603	-0.0994355675643219	-0.0241258870853839	0.0511837933935541
Dihomoglinolenic	Omega-6	-0.0193574392896494	-0.0141605071141639	-0.00896357493867837	0.00265837901114478	0.0116420645185564	0.0206257500259681	-0.0494097454705062	0.0391036926109413	0.127617130692389	-0.0562330567036888	0.0097894100752584	0.0758118768542056	-0.1361272367748	-0.0196088071297004	0.0969096225153994	-0.126959491893592	-0.0389274366562179	0.0491046185811562
Docosapentaenoicn6	Omega-6	-0.0190921416151342	-0.0110862399892462	-0.00308033836335812	0.00192307524839335	0.0157624904998604	0.0296019057513275	-0.283570998754507	-0.147215577147912	-0.0108601555413178	-0.0182617631801655	0.0834461976479618	0.185154158476089	-0.216964333225236	-0.0374670733337346	0.142030186557767	-0.233655605676445	-0.0980417568985712	0.037572091879303
Docosatetraenoic	Omega-6	-0.0185219407721613	-0.0118601963213298	-0.00519845187049839	0.00388936388697928	0.0154051995869947	0.02692103528701	-0.205569446301732	-0.092107525874031	0.0213543945536701	0.00383881165409082	0.088470434088872	0.173102056523653	-0.130192754467319	0.0191676712410118	0.168528096949343	-0.218515630510563	-0.105670775955948	0.00717407859866794
Eicosadienoic	Omega-6	-0.0137710509679548	-0.00873256096601189	-0.00369407096406903	-0.00750288563913171	0.00120690853967416	0.00991670271848003	-0.139555296882646	-0.053740424232456	0.0320744484177336	-0.0606256138716219	0.00338398400969986	0.0673935818910216	-0.123311367062365	-0.0103453088216547	0.102620749419056	-0.172850266148438	-0.0875021001176672	-0.00215393408689667
gammaLinolenic	Omega-6	-0.0240964367683024	-0.0164302475173359	-0.00876405826636948	-0.00863661324593692	0.00461555763977378	0.0178677285254845	-0.139420386492788	-0.00885089959686073	0.121718587299066	-0.0298833249956574	0.0675088879584724	0.164901100912602	-0.276162194103524	-0.104281495506317	0.0675992030908905	-0.142143028776192	-0.0122836477389181	0.117575733298356
Linoleic	Omega-6	-0.0127840436404964	-0.00858385683863017	-0.00438367003676391	-0.0122747233664332	-0.00501406341817778	0.00224659653007765	-0.121876042457146	-0.0503390352644804	0.0211979719281852	-0.0918923134677592	-0.0385326227448991	0.014827067977961	-0.207759558978474	-0.113588776323646	-0.0194179936688176	-0.169294408564895	-0.0981464574153041	-0.0269985062657133
Elaidic	trans	-0.0030099874731033	0.00713888973559378	0.0172877669442909	-0.00364842753313213	0.0138954460479686	0.0314393196290693	-0.383867126879756	-0.211012838219677	-0.0381585495595984	-0.0270133435069771	0.101919243205533	0.230851829918042	-0.228939963905003	-0.00139586767906899	0.226148228546865	-0.280116944930043	-0.108202729222604	0.0637114864848353
Palmitelaidic	trans	-0.00145302441047195	0.00611519728922379	0.0136834189889195	-0.00268477393999315	0.0103980451741669	0.0234808642883269	-0.238514718168347	-0.10961380120764	0.0192871157530676	-0.0246301354420183	0.0715174856681589	0.167665106778336	-0.14836774146442	0.0213164641163718	0.191000669697164	-0.221965551007524	-0.0937656653405407	0.0344342203264424
Linoelaidic	trans	-0.00834002030938256	-0.000961971882450764	0.00641607654448103	-0.00343915603504105	0.00931491973271059	0.0220689955004622	-0.1622602490541	-0.0365983372670483	0.0890635745200029	0.00463479653030667	0.0983664329481054	0.192098069365904	-0.199731276576343	-0.03431087324555	0.131109530085243	-0.240791737693331	-0.115813241778479	0.0091652541363732
