Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
alphaLinolenic	Omega-3	0.349605851661203	0.876251250888099	0.885352764010564	0.885352764010564	0.826811001632773	0.885352764010564	0.584167500592066	0.876251250888099	0.0522774794346036	0.313664876607622	0.537261844547303	0.876251250888099
Docosahexaenoic	Omega-3	0.00881218380515187	0.0227153061962782	0.300003743880525	0.300003743880525	0.232164328964765	0.278597194757718	0.0113576530981391	0.0227153061962782	1.33782428404027e-05	8.02694570424161e-05	0.0584926136116051	0.0877389204174076
Docosapentaenoicn3	Omega-3	0.55173905212234	0.681684644413016	0.0101319468940825	0.0303958406822475	0.234669702089157	0.469339404178314	0.681684644413016	0.681684644413016	0.000429593454804577	0.00257756072882746	0.63530916218392	0.681684644413016
Eicosapentaenoic	Omega-3	0.0504914011365841	0.0690944825048191	0.650273604443177	0.650273604443177	0.0381482730037164	0.0690944825048191	0.0133003749362427	0.0399011248087282	1.87704377008565e-06	1.12622626205139e-05	0.0575787354206826	0.0690944825048191
Arachidonic	Omega-6	0.242981387888787	0.526014555461349	0.353122275290341	0.526014555461349	0.482524743720321	0.526014555461349	0.247343987948673	0.526014555461349	0.526014555461349	0.526014555461349	0.354178832430419	0.526014555461349
Dihomoglinolenic	Omega-6	0.0428333469590538	0.0856666939181076	0.127775270881113	0.191662906321669	0.782914370999	0.782914370999	0.0195964272841368	0.0587892818524103	0.000145800216014013	0.000874801296084078	0.473996174410444	0.568795409292533
Docosapentaenoicn6	Omega-6	0.00159451901360629	0.00478355704081887	0.379844277146867	0.569766415720301	0.152709088789374	0.305418177578748	4.76800207120926e-07	2.86080124272556e-06	0.85625949871633	0.85625949871633	0.776122925246447	0.85625949871633
Docosatetraenoic	Omega-6	0.0083539188096322	0.0250617564288966	0.246740870672687	0.493481741345374	0.331971287206759	0.497956930810138	2.24807526146496e-06	1.34884515687897e-05	0.855547065169192	0.855547065169192	0.718917457610858	0.855547065169192
Eicosadienoic	Omega-6	0.408930568028423	0.817861136056845	0.796490831661931	0.961203037533867	0.801002531278223	0.961203037533867	0.00875879260678333	0.0525527556407	0.304542393177014	0.817861136056845	0.972763409285771	0.972763409285771
gammaLinolenic	Omega-6	0.0441766674723779	0.132530002417134	0.89110527537383	0.89110527537383	0.30486247737396	0.45729371606094	0.237799448813002	0.45729371606094	0.0133120220331023	0.079872132198614	0.445225858630215	0.534271030356258
Linoleic	Omega-6	0.0434692740276531	0.130407822082959	0.359181231603104	0.431017477923725	0.87090918371484	0.87090918371484	0.121781806910804	0.199661966637656	0.0230165019877629	0.130407822082959	0.133107977758437	0.199661966637656
Elaidic	trans	0.08014720243974	0.12022080365961	0.0550778784190947	0.110155756838189	0.985346847918829	0.985346847918829	0.57660478722917	0.691925744675004	0.0167484877893016	0.10049092673581	0.0339794810103462	0.101938443031038
Palmitelaidic	trans	0.00900592035956133	0.027017761078684	0.0498255320316115	0.099651064063223	0.400912124329108	0.559271933337833	0.466059944448194	0.559271933337833	0.00731022432225659	0.027017761078684	0.720882836529905	0.720882836529905
Linoelaidic	trans	0.509709761527702	0.611651713833242	0.0897126559199032	0.269137967759709	0.484200259849495	0.611651713833242	0.250587857441354	0.501175714882707	0.0104011000666569	0.0624066003999415	0.669907717542885	0.669907717542885
