Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Gleason.est	Gleason.se	Gleason.pval	Gleason.pval.adj
Eicosapentaenoic	Omega-3	2.618685202819	0.0117285745656535	0.0187657193050455	0.00334219827618182	0.00564127404055325	0.553858405825944	0.617314954949195	0.0070109019230273	0.0103119145688928	0.496944849369379	0.617314954949195	0.200591562229	0.0804622001243597	0.0130432244520323	0.0913025711642264	-0.122701864556994	0.0638129780136289	0.055162402407093	0.193068408424826	-0.0876797719496868	0.122256085970946	0.473652564692642	0.617314954949195	0.152048606727521	0.0896878267946099	0.090742362944434	0.211732180203679	-0.023671418039217	0.0473406171822955	0.617314954949195	0.617314954949195
Arachidonic	Omega-6	2.32628002191382	0.0244381416450514	0.0366572124675771	-0.00102032883031098	0.00256460312120616	0.690938231881772	0.690938231881772	0.00962938112417872	0.00468794249293379	0.0405739566857238	0.142008848400033	-0.031822493374202	0.0365792564046065	0.384808709273286	0.622416737238646	0.0669004324927299	0.029010284097307	0.0215813496440778	0.142008848400033	0.0346357132581795	0.055579349170704	0.533500060490268	0.622416737238646	-0.0304730184355129	0.0407733570250553	0.455246220652701	0.622416737238646	0.0343082232627667	0.0215217154339189	0.111645328074606	0.260505765507413
Dihomoglinolenic	Omega-6	6.20917273149952	6.100457511371e-07	4.8803660090968e-06	-0.010684150681623	0.00289746324033543	0.000255619840938669	0.00178933888657068	0.01675496375724	0.00529639106096611	0.0016698622632409	0.00584451792134316	0.00197386948139618	0.0413268820874338	0.96192786022018	0.96192786022018	0.0322002732049962	0.0327755320379171	0.326432659624249	0.380838102894958	-0.0794100385895442	0.0627929989682551	0.206689839136633	0.289365774791286	-0.130204325532488	0.0460653354853627	0.00492575672912645	0.0114934323679617	0.0427706707845268	0.0243150212300342	0.0792865368533354	0.138751439493337
Docosapentaenoicn6	Omega-6	6.4229875155761	3.32938549396644e-07	4.8803660090968e-06	-0.0052429724244966	0.00431681228039307	0.225206925121373	0.262741412641602	0.0155456118947032	0.00789087697661204	0.0494726443829673	0.0865771276701928	-0.206794256287619	0.0615712357009014	0.000853273444720986	0.00298645705652345	0.170880651834521	0.0488309281125918	0.000515019140886057	0.00298645705652345	0.0789269452250236	0.0935527275360678	0.399328095898441	0.399328095898441	-0.156158967483467	0.0686308641143001	0.0233776714336432	0.0545479000118341	0.0458078220143568	0.0362259582046254	0.206736185608999	0.262741412641602
Docosatetraenoic	Omega-6	6.22540646497987	5.82641406232653e-07	4.8803660090968e-06	-0.00715228816855976	0.00358197386166329	0.0464842749288781	0.0542316540836912	0.0136585033835705	0.00654763590351242	0.037566965982255	0.052593752375157	-0.147634046630326	0.0510901430466781	0.00405193627778684	0.0283635539445079	0.102824590839988	0.0405185810220445	0.0115108254829515	0.0402878891903303	0.169024632984827	0.0776275183990604	0.0299965034490666	0.0524938810358666	-0.134931409403881	0.0569480314159974	0.0182598400755532	0.0426062935096241	0.0465812463283133	0.0300593185374416	0.121964322557511	0.121964322557511
Eicosadienoic	Omega-6	1.19463255919642	0.304390274512405	0.317624634273814	-0.00548562167587101	0.00297112213767527	0.0655354003334962	0.367096507042321	0.00277960377667995	0.00543103515929336	0.609054336694637	0.756899261350357	-0.0623075301420282	0.042377488190965	0.142214125802039	0.367096507042321	-0.00539514588959543	0.0336087469398462	0.872540705413841	0.872540705413841	0.0413381141955251	0.0643893136342273	0.521214317259628	0.756899261350357	-0.0215299336576476	0.0472364018755091	0.648770795443163	0.756899261350357	0.0353201828518814	0.0249331542326091	0.157327074446709	0.367096507042321
gammaLinolenic	Omega-6	3.5999441982863	0.000882653350191553	0.00353061340076621	-0.012742518147586	0.00420662360498135	0.00260053765654134	0.0182037635957894	0.0167927675356974	0.00768945860921188	0.0295128375379187	0.068863287588477	-0.0639313003150777	0.0599996007849798	0.287236033237805	0.402130446532927	0.0333922940739342	0.0475844955743297	0.483217252248223	0.483217252248223	0.0674266572860404	0.0911647499130487	0.459939217075762	0.483217252248223	-0.0775740001398293	0.0668790288437545	0.246728471277023	0.402130446532927	0.0790306258951146	0.0353012734857141	0.0256844267050668	0.068863287588477
Linoleic	Omega-6	2.87913563506863	0.0059973538304936	0.0105803852142544	-0.00581800242982628	0.00235654675685846	0.0139428044924749	0.0487998157236623	-0.00680573896793661	0.00430762779110491	0.114860500729434	0.268007835035346	0.0135223696765087	0.0336117223502512	0.687655447484689	0.947103221466429	0.0031350187752606	0.0266567915868787	0.906434293208386	0.947103221466429	-0.0263551042323761	0.051070410838043	0.606082367890405	0.947103221466429	-0.0928467396355235	0.0374655717561618	0.0135889210808668	0.0487998157236623	0.00131278815776949	0.0197757416297534	0.947103221466429	0.947103221466429
Elaidic	trans	3.10973681273476	0.00327632000535094	0.00964945366019372	-0.012519835413538	0.00597307586117522	0.0366635370680129	0.150699511000711	0.0163763119727785	0.0109184286299827	0.13438152751494	0.220334005404411	-0.16457371504081	0.0851947311626664	0.0540503769436907	0.150699511000711	0.0957014614588839	0.0675662546904973	0.157381432431722	0.220334005404411	0.239849912557968	0.12944680062435	0.0645855047145902	0.150699511000711	-0.089386071890645	0.094962979890197	0.347094785769343	0.4049439167309	-0.040925935118979	0.0501250419164133	0.414680612503752	0.414680612503752
Palmitelaidic	trans	1.57112270838852	0.142044753035991	0.16857173343633	-0.00223299637963283	0.00422554657810245	0.597459274580187	0.825864984357311	0.0190897821219256	0.00772404868244916	0.0138430547456028	0.0969013832192199	0.0132678718335273	0.06026950152713	0.825864984357311	0.825864984357311	0.0681032911787959	0.0477985485097214	0.15494257134398	0.542298999703929	0.0936345393097065	0.0915748432026298	0.307124356944384	0.716623499536896	-0.0231308235192734	0.0671798758374521	0.730780528970738	0.825864984357311	-0.02471510140933	0.0354600718741698	0.486190335822112	0.825864984357311
