Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
alphaLinolenic	Omega-3	-0.00328845246705256	0.00310209173600218	0.00949263593905692	0.0147867051866566	0.0250899872442704	0.0353932693018841	0.0235215086880326	0.0642835173577039	0.105045526027375	-0.0845508569167431	-0.0218959039773982	0.0407590489619467	0.0114334670557871	0.191126003414251	0.370818539772715	-0.134962139979235	0.0161533887664674	0.167268917512169
Docosahexaenoic	Omega-3	-0.00464812689543603	0.000763415835288808	0.00617495856601364	0.0128756807966468	0.0216005482492239	0.0303254157018009	-0.013826358778175	0.0206911008773987	0.0552085605329724	-0.0337344121162208	0.0193220951779068	0.0723786024720343	0.102665769229182	0.254830249748905	0.406994730268629	-0.111340377631763	0.0166249591376065	0.144590295906976
Docosapentaenoicn3	Omega-3	-0.00558213096709786	0.0008101894916847	0.00720250995046726	0.00113931468218083	0.0114454605434377	0.0217516064046946	-0.00639696782300316	0.0343763706722787	0.0751497091675606	-0.00448637739105592	0.0581859905313482	0.120858358453752	0.065955906370915	0.245698388381394	0.425440870391874	-0.178869868950005	-0.0277123375492913	0.123445193851422
Eicosapentaenoic	Omega-3	-0.0122539837267335	-0.00206629688692221	0.00812138995288912	0.00387748453261728	0.0203027853661583	0.0367280861996993	-0.0353590050425818	0.029623031869045	0.0946050687806718	-0.115332255500367	-0.0154488935788513	0.0844344683426647	0.0527095452137433	0.339172048203141	0.625634551192538	-0.0628976494642572	0.178007918915634	0.418913487295525
Arachidonic	Omega-6	-0.00233706826222314	0.00204896996804697	0.00643500819831708	0.00979346711937355	0.0168649445344501	0.0239364219495267	0.0276743396666599	0.0556506313074124	0.083626922948165	-0.0181064338904471	0.0248956970980814	0.0678978280866099	-0.0992710171554579	0.0240578119895916	0.147386641134641	-0.0289793314419377	0.074736168397545	0.178451668237028
Dihomoglinolenic	Omega-6	-0.00441863138957003	0.00113554177190413	0.0066897149333783	0.0159507384651898	0.0249055646679632	0.0338603908707367	-0.0188127461232215	0.0166144800045071	0.0520417061322358	-0.0168202134226073	0.0376346885375092	0.0920895904976256	-0.188809822501502	-0.0326347877865667	0.123540246928369	-0.0582886368296446	0.0730494444624232	0.204387525754491
Docosapentaenoicn6	Omega-6	-0.00889182628222433	-0.00116561732540361	0.0065605916314171	0.00911922166002531	0.0215759557954583	0.0340326899308913	-0.0143366065283392	0.0349449235690625	0.0842264536664643	0.0586149858348637	0.134365226066009	0.210115466297154	-0.140682499329314	0.0765669304176799	0.293816360164673	-0.199628001595303	-0.0169283574630173	0.165771286669268
Docosatetraenoic	Omega-6	-0.00367852122077251	0.00297789209995486	0.00963430542068222	0.0047617711328088	0.0154937059659531	0.0262256407990973	-0.00356144867774841	0.0388964029334973	0.081354254544743	0.0521607901605172	0.117422409531782	0.182684028903047	-0.21790020137222	-0.0307318234303199	0.15643655451158	-0.219040265535845	-0.0616377992434087	0.0957646670490279
Eicosadienoic	Omega-6	-0.00224007454233032	0.00234442907149403	0.00692893268531838	0.00277652561852578	0.0101679827975252	0.0175594399765245	-0.0093390318841598	0.0199031687978291	0.049145369479818	-0.0225363409794829	0.0224116085295929	0.0673595580386686	0.0432253404948079	0.172134719123135	0.301044097751461	-0.0673798992625419	0.0410286596374166	0.149437218537375
gammaLinolenic	Omega-6	-0.0117719532000085	-0.00407079858181245	0.00363035603638362	0.0119862096352143	0.0244025494146403	0.0368188891940663	-0.0248401834845602	0.0242815378178812	0.0734032591203226	0.00662407548268229	0.0821286749111702	0.157633274339658	-0.236256684237273	-0.0197117449861117	0.19683319426505	-0.0226869084283993	0.159420282305813	0.341527473040025
Linoleic	Omega-6	-0.0033068206649429	0.0010884894430902	0.0054837995511233	0.00494271217903102	0.0120291383635332	0.0191155645480354	0.00818443272735608	0.0362198649279343	0.0642552971285125	-0.0786937507262812	-0.0356007152628846	0.00749232020051187	0.0230360705680801	0.146625611035843	0.270215151503606	-0.055972812554649	0.0479619369552999	0.151896686465249
Elaidic	trans	-0.00305953127085493	0.00405092564183632	0.0111613825545276	0.00531386789215046	0.0167778435415088	0.028241819190867	-0.0262517977587116	0.0191021653954593	0.0644561285496302	-0.0466053638023548	0.0231078451335843	0.0928210540695235	-0.318284956402066	-0.118349552356459	0.0815858516891487	-0.313231894483501	-0.1450927780259	0.0230463384317014
Palmitelaidic	trans	0.000105837146883878	0.0083910829079494	0.0166763286690149	0.0106495840555801	0.0240076364030001	0.0373656887504201	-0.0094722118428059	0.0433751277282865	0.096222467299379	-0.101995468330806	-0.0207642512769714	0.0604669657768637	-0.207835750337561	0.0251329574678582	0.258101665273278	-0.107000480207445	0.088918561143215	0.284837602493875
Linoelaidic	trans	-0.00182566485702866	0.00381278401286249	0.00945123288275364	0.00650097772727502	0.0155916791179566	0.0246823805086382	-0.00908256607942873	0.0268822116320123	0.0628469893434532	-0.0257569924805863	0.0295241756592199	0.084805343799026	-0.236923006305185	-0.0783782648301252	0.0801664766449347	-0.0410434528756499	0.0922874740698074	0.225618401015265
