Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Eicosapentaenoic	Omega-3	0.616934587754073	0.616934587754073	0.527182975618925	0.616934587754073	0.013311666031584	0.0798699961895043	0.0510716470991925	0.153214941297578	0.458694942641157	0.616934587754073	0.0861258046965608	0.172251609393122
Arachidonic	Omega-6	0.943706047300556	0.943706047300556	0.0266731887517536	0.0800195662552607	0.403274475192387	0.58404982257126	0.0169597393917672	0.0800195662552607	0.48670818547605	0.58404982257126	0.415004728741144	0.58404982257126
Dihomoglinolenic	Omega-6	0.000764645728469886	0.00262155036999944	0.000873850123333145	0.00262155036999944	0.93396401459615	0.93396401459615	0.279767171583622	0.335720605900346	0.237885949760762	0.335720605900346	0.00394029285425749	0.00788058570851497
Docosapentaenoicn6	Omega-6	0.330526757144653	0.367411331398201	0.0355862743549424	0.0533794115324136	0.000938139172665068	0.0028144175179952	0.000389754715118095	0.00233852829070857	0.367411331398201	0.367411331398201	0.0202237439916086	0.0404474879832173
Docosatetraenoic	Omega-6	0.087738283933345	0.087738283933345	0.0248395529637648	0.0301335015156972	0.00451916024565286	0.0268135420333306	0.00893784734444353	0.0268135420333306	0.025111251263081	0.0301335015156972	0.0152972821573664	0.0301335015156972
Eicosadienoic	Omega-6	0.113345043668725	0.451402196883796	0.510483338275741	0.726349469751244	0.150467398961265	0.451402196883796	0.93664199260651	0.93664199260651	0.479807718233947	0.726349469751244	0.605291224792704	0.726349469751244
gammaLinolenic	Omega-6	0.00931955997666161	0.0487063549465746	0.0162354516488582	0.0487063549465746	0.310181203796652	0.40851939386431	0.40851939386431	0.40851939386431	0.401487058076151	0.40851939386431	0.211073549513275	0.40851939386431
Linoleic	Omega-6	0.0123710588064305	0.0398603886029862	0.114107214495714	0.228214428991428	0.68627097974057	0.823525175688684	0.903158682567904	0.903158682567904	0.607421264934796	0.823525175688684	0.0132867962009954	0.0398603886029862
Elaidic	trans	0.0210867024265536	0.126520214559321	0.15496187519616	0.204753224931959	0.0519113690771703	0.139555255420856	0.170627687443299	0.204753224931959	0.069777627710428	0.139555255420856	0.364901209538331	0.364901209538331
Palmitelaidic	trans	0.492277178343662	0.738415767515493	0.0161729644943047	0.0970377869658283	0.836647507027011	0.836647507027011	0.165845764922094	0.497537294766281	0.321750280878386	0.643500561756772	0.753270194551847	0.836647507027011
Linoelaidic	trans	0.0362277284609676	0.108683185382903	0.0247985513582362	0.108683185382903	0.255703342074963	0.348042556784419	0.0554616341668156	0.110923268333631	0.300102684820258	0.348042556784419	0.348042556784419	0.348042556784419
