Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u	gleason_l	gleason_m	gleason_u
alphaLinolenic	Omega-3	-0.0251821023456271	-0.0155496816570408	-0.00591726096845452	0.00383890423843344	0.0181559313279584	0.0324729584174833	-0.0642116304665807	0.043472134937941	0.151155900342463	-0.13791619417972	-0.0453455413448417	0.0472251114900364	-0.239714219414586	-0.0735608310511677	0.0925925573122508	-0.189059365732756	-0.0408867936324407	0.107285778467874	-0.0460412155903262	0.0332426263857184	0.112526468361763
Docosahexaenoic	Omega-3	-0.000338039429795464	0.00623451051892988	0.0128070604676552	0.00515328169524326	0.0149223084752568	0.0246913352552704	-0.0227946424264532	0.050681895784412	0.124158433995277	-0.148651863845634	-0.0854875504073427	-0.0223232369690512	-0.194803609795185	-0.081431127480067	0.0319413548350509	-0.122750846157109	-0.0216473268398526	0.079456192477404	-0.0848166488037318	-0.0307184082511924	0.0233798323013471
Docosapentaenoicn3	Omega-3	-0.0144901705274891	-0.00801081636884285	-0.00153146221019662	-0.00835901298530124	0.00127149340670921	0.0109019997987197	-0.0365645437750119	0.0358701303063662	0.108304804387744	-0.0986544260558336	-0.0363857540568024	0.0258829179422287	-0.198018893811967	-0.0862539820965427	0.0255109296188818	-0.0843540886235061	0.0153158284486465	0.114985745520799	-0.00143468958120404	0.0518964623513149	0.105227614283834
Eicosapentaenoic	Omega-3	-0.0107874224706529	-0.000434467468679879	0.00991848753329318	0.00659964585337171	0.021987630038439	0.0373756142235063	0.0149044857776282	0.130643323783016	0.246382161788404	-0.24482991942122	-0.145334700692	-0.0458394819627796	-0.362134619315868	-0.183552453029246	-0.00497028674262301	-0.0779316349267184	0.0813246954471068	0.240581025820932	-0.0274791463778171	0.0577353676990176	0.142949881775852
Arachidonic	Omega-6	-0.00938450049601814	-0.00430733499003675	0.000769830515944628	-0.00226116786357042	0.00528521309685307	0.0128315940572766	-0.079439272234313	-0.0226800922792825	0.034079087675748	-0.0610033004557075	-0.0122101112217353	0.0365830780122368	-0.133515668595997	-0.0459376568610795	0.0416403548738383	-0.0343751295231083	0.0437253497148546	0.121825828952818	-0.0259995732443456	0.0157902530803526	0.0575800794050509
Dihomoglinolenic	Omega-6	-0.0162541445780498	-0.00966586057830357	-0.00307757657855735	0.00333180487601528	0.0131242177644617	0.0229166306529081	-0.0544079246257269	0.0192445093348954	0.0928969432955178	0.00113979248053693	0.0644553151965196	0.127770837912502	-0.23266965111222	-0.119025766002901	-0.00538188089358217	-0.108450191587879	-0.00710464019118008	0.0942409112055187	-0.0214680493023945	0.0327596972232655	0.0869874437489255
Docosapentaenoicn6	Omega-6	-0.026171832107962	-0.0166226960589466	-0.00707356000993115	-0.0135464571650993	0.000646780850066524	0.0148400188652323	-0.230948850560217	-0.124196149514209	-0.0174434484682014	0.0509908318299246	0.142761092561358	0.234531353292792	-0.142342305835921	0.0223744732357405	0.187091252307402	-0.130080232484963	0.0168111975576454	0.163702627600254	-0.0366033523670652	0.0419949790383504	0.120593310443766
Docosatetraenoic	Omega-6	-0.0228521459481724	-0.0153167987117686	-0.00778145147536487	-0.0135237997928376	-0.00232373139877293	0.00887633699529169	-0.111833362257084	-0.0275934198500835	0.0566465225569174	0.0587255901080339	0.131142694339988	0.203559798571943	-0.14524877005996	-0.0152686211128773	0.114711527834205	-0.0669085710348155	0.0490053635600423	0.1649192981549	-0.000161246570420943	0.061861717214121	0.123884680998663
Eicosadienoic	Omega-6	-0.0136557705899706	-0.00743373068706108	-0.00121169078415158	-0.00196493279976519	0.00728311779125755	0.0165311683822803	-0.0484061421774733	0.0211519374479726	0.0907100170734186	-0.0434685447033446	0.0163272547533261	0.0761230542099967	-0.171278075024652	-0.0639516774529804	0.043374720118691	-0.11119396742369	-0.0154822366001678	0.0802294942233539	-0.0111051353168369	0.0401080793442972	0.0913212940054313
gammaLinolenic	Omega-6	-0.0217877101015588	-0.0133047138652155	-0.00482171762887224	-0.00143977315157484	0.0111688213899795	0.0237774159315339	-0.0851645212202868	0.00966947805927505	0.104503477338837	-0.0925520281122406	-0.0110277129912655	0.0704966021297096	-0.240679281380906	-0.0943527645363199	0.051973752308266	-0.135047601247366	-0.00455627283750318	0.12593505557236	-0.022630999240568	0.0471920031831695	0.117015005606907
Linoleic	Omega-6	-0.0129348814116299	-0.00816083077464759	-0.00338678013766529	0.000587403081911645	0.00768325307706699	0.0147791030722223	-0.0222454811492644	0.0311250853409705	0.0844956518312053	-0.0734381739135699	-0.0275580158079466	0.0183221422976767	-0.206940669173139	-0.124591204256905	-0.042241739340671	-0.0914653592854045	-0.0180276030776622	0.0554101531300802	-0.0347348782949495	0.00456002882394736	0.0438549359428442
Elaidic	trans	-0.0165085669706378	-0.0039715814183863	0.00856540413386517	-0.00291661659228763	0.0157175738750423	0.0343517643423723	-0.168434964439066	-0.0282801835449748	0.111874597349116	-0.18080380115193	-0.0603193482118167	0.0601651047282967	-0.439834392984097	-0.223579030317257	-0.00732366765041731	-0.0170035293217767	0.175849072917944	0.368701675157664	-0.190325251367656	-0.0871341207561733	0.0160570098553095
Palmitelaidic	trans	-0.00684558740557161	0.00198718963039753	0.0108199666663667	0.00452712909756738	0.0176556159222291	0.0307841027468908	-0.0674862496293665	0.0312580557702912	0.130002361169949	-0.159404243410444	-0.0745184225976718	0.0103673982151009	-0.213705337361906	-0.0613453148263603	0.0910147077091851	-0.0859344122851889	0.0499374868480108	0.18580938598121	-0.149483232701263	-0.0767812067651228	-0.00407918082898284
