Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Eicosapentaenoic	Omega-3	0.298779518137019	0.358535421764423	0.00389288225920242	0.0233572935552145	0.180986371417339	0.358535421764423	0.597891735848416	0.597891735848416	0.260685482988826	0.358535421764423	0.0499991324885893	0.149997397465768
Arachidonic	Omega-6	0.126981667368098	0.553630355744412	0.488376447053095	0.553630355744412	0.553630355744412	0.553630355744412	0.444516301781864	0.553630355744412	0.426502964773215	0.553630355744412	0.529291340700642	0.553630355744412
Dihomoglinolenic	Omega-6	1.3669541662748e-07	8.2017249976488e-07	0.0112035676238814	0.0336107028716442	0.385742320487463	0.578613480731195	0.770884331074522	0.770884331074522	0.741003128872482	0.770884331074522	0.385298058004265	0.578613480731195
Docosapentaenoicn6	Omega-6	0.00675257743493685	0.0405154646096211	0.0256874027650372	0.0688048884867496	0.0344024442433748	0.0688048884867496	0.107579320193144	0.161368980289716	0.68184611972674	0.68184611972674	0.156076151839437	0.187291382207324
Docosatetraenoic	Omega-6	0.000513758753832394	0.00308255252299436	0.00885662781292625	0.0265698834387788	0.111331058984686	0.133597270781623	0.0405147218642289	0.0810294437284578	0.800999638476989	0.800999638476989	0.0663812744543622	0.0995719116815433
Eicosadienoic	Omega-6	0.000717989897235378	0.00430793938341227	0.785499614522005	0.917298159326587	0.219075005960075	0.43815001192015	0.917298159326587	0.917298159326587	0.857253538883588	0.917298159326587	0.044514928839026	0.133544786517078
gammaLinolenic	Omega-6	3.05868739861276e-05	0.000183521243916766	0.494032121951599	0.741048182927398	0.894080894545129	0.894080894545129	0.173803846105349	0.467520258540034	0.233760129270017	0.467520258540034	0.852610195871434	0.894080894545129
Linoleic	Omega-6	6.92368420255883e-05	0.00041542105215353	0.175411344912195	0.175411344912195	0.167381297260771	0.175411344912195	0.156544032396344	0.175411344912195	0.0181851195523651	0.0363702391047302	0.00696434803016161	0.0208930440904848
Elaidic	trans	0.167538872861274	0.251308309291911	0.120279585380936	0.242014797787654	0.0168415101482549	0.101049060889529	0.121007398893827	0.242014797787654	0.990386476503136	0.990386476503136	0.216760524667359	0.260112629600831
Palmitelaidic	trans	0.113002618916208	0.18156445846137	0.119002544366049	0.18156445846137	0.0953789576535654	0.18156445846137	0.14449162883358	0.18156445846137	0.805112124746135	0.805112124746135	0.151303715384475	0.18156445846137
