Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Gleason.est	Gleason.se	Gleason.pval	Gleason.pval.adj
alphaLinolenic	Omega-3	3.32262742177594	0.00189055635718849	0.00567166907156547	-0.0155496816570408	0.00489953211555405	0.00162290287682718	0.0113603201377903	0.0181559313279584	0.00728235780934105	0.0130704266070681	0.0457464931247384	0.043472134937941	0.0547733621672493	0.427862375630046	0.499172771568387	-0.0453455413448417	0.0470860753683355	0.336119108389118	0.499172771568387	-0.0735608310511677	0.0845139439724958	0.384611173429053	0.499172771568387	-0.0408867936324407	0.0753679992932585	0.587783204830423	0.587783204830423	0.0332426263857184	0.0403277371872297	0.410259929317702	0.499172771568387
Docosahexaenoic	Omega-3	3.86626660376149	0.000437581207920479	0.00150027842715593	0.00623451051892988	0.0033431284404989	0.0629405310962144	0.1468612392245	0.0149223084752568	0.00496901682285315	0.00284272101566229	0.019899047109636	0.050681895784412	0.0373738513238362	0.175848710789257	0.24618819510496	-0.0854875504073427	0.032128536766935	0.00811334675628116	0.028396713646984	-0.081431127480067	0.0576669288106567	0.158709577573831	0.24618819510496	-0.0216473268398526	0.0514263190848176	0.674028795010635	0.674028795010635	-0.0307184082511924	0.0275170775396269	0.264955340754125	0.309114564213145
Docosapentaenoicn3	Omega-3	1.89681410134372	0.0687305561253471	0.104501118654056	-0.00801081636884285	0.00329572438898482	0.0155152628626346	0.108606840038442	0.00127149340670921	0.00489855840833596	0.795334709018168	0.795334709018168	0.0358701303063662	0.0368439069902675	0.330865799773259	0.463212119682562	-0.0363857540568024	0.031672968624975	0.251335615717981	0.439837327506466	-0.0862539820965427	0.0568492378027721	0.13000579445727	0.303346853733631	0.0153158284486465	0.0506971171045573	0.762731386447668	0.795334709018168	0.0518964623513149	0.0271268978069538	0.0564579904510564	0.197602966578698
Eicosapentaenoic	Omega-3	4.31915408978976	0.000126706617619043	0.000608191764571409	-0.000434467468679879	0.00526603199371865	0.934287915456251	0.934287915456251	0.021987630038439	0.00782710028411768	0.00521377517961952	0.0182482131286683	0.130643323783016	0.058870575959814	0.0270432616497166	0.0631009438493387	-0.145334700692	0.0506082567682614	0.0043018962778575	0.0182482131286683	-0.183552453029246	0.0908358435822153	0.0439845701100336	0.0769729976925588	0.0813246954471068	0.0810057544721252	0.31602345487406	0.368694030686404	0.0577353676990176	0.0433443743715952	0.183623210178418	0.257072494249785
Arachidonic	Omega-6	0.974647155161869	0.449253349211581	0.49009456277627	-0.00430733499003675	0.00258250093686365	0.0961294945974644	0.530363794379236	0.00528521309685307	0.00383846771929423	0.169320850889604	0.530363794379236	-0.0226800922792825	0.0288705647347507	0.43258547537906	0.534351863064551	-0.0122101112217353	0.0248186624526714	0.623011743045295	0.623011743045295	-0.0459376568610795	0.0445465677822854	0.303065025359563	0.530363794379236	0.0437253497148546	0.039725819566828	0.271706965893826	0.530363794379236	0.0157902530803526	0.0212564009402018	0.458015882626758	0.534351863064551
Dihomoglinolenic	Omega-6	3.96771781233315	0.000331948708501728	0.00132779483400691	-0.00966586057830357	0.00335113156772692	0.00413692002739232	0.0289584401917463	0.0131242177644617	0.00498091217014214	0.00874729363574639	0.0306155277251124	0.0192445093348954	0.0374633207212791	0.607756410986814	0.709049146151283	0.0644553151965196	0.0322054493869472	0.0460351336630037	0.0805614839102565	-0.119025766002901	0.057804977879466	0.0401404954462697	0.0805614839102565	-0.00710464019118008	0.0515494287355024	0.890451403914173	0.890451403914173	0.0327596972232655	0.0275829507707672	0.23567349800866	0.329942897212124
Docosapentaenoicn6	Omega-6	4.52768991927716	7.1281274470425e-05	0.00042768764682255	-0.0166226960589466	0.00485716937211682	0.000685815822014683	0.00480071075410278	0.000646780850066524	0.00721939247954642	0.928658936812159	0.928658936812159	-0.124196149514209	0.0542997761525113	0.0227104197978246	0.0529909795282575	0.142761092561358	0.0466789558142127	0.00237708570298193	0.00831979996043675	0.0223744732357405	0.0837832124575396	0.789568504023622	0.928658936812159	0.0168111975576454	0.0747163462084054	0.822095422565179	0.928658936812159	0.0419949790383504	0.0399790521406631	0.29416517295751	0.514789052675642
Docosatetraenoic	Omega-6	5.41221682716395	6.08173012728308e-06	0.000145961523054794	-0.0153167987117686	0.00383285541404548	7.68039010060339e-05	0.000537627307042237	-0.00232373139877293	0.00569691633777419	0.683573342320433	0.797502232707172	-0.0275934198500835	0.0428486583569368	0.519966064106759	0.727952489749463	0.131142694339988	0.0368349700839281	0.000415604289439231	0.00145461501303731	-0.0152686211128773	0.0661144207400886	0.817479144294476	0.817479144294476	0.0490053635600423	0.0589596388642664	0.406380880484451	0.71116654084779	0.061861717214121	0.03154798910769	0.0505956867004698	0.118056602301096
Eicosadienoic	Omega-6	1.9125043592319	0.0662780334124513	0.104501118654056	-0.00743373068706108	0.00316484145721401	0.0193236282412673	0.135265397688871	0.00728311779125755	0.00470402221226434	0.12235701111322	0.290357392413551	0.0211519374479726	0.0353807268223825	0.550290730200447	0.690315216622528	0.0163272547533261	0.0304151416642689	0.591698757105024	0.690315216622528	-0.0639516774529804	0.0545915869696407	0.242121415523693	0.423712477166463	-0.0154822366001678	0.0486837851217161	0.750640641503078	0.750640641503078	0.0401080793442972	0.0260496087209223	0.12443888246295	0.290357392413551
gammaLinolenic	Omega-6	2.41501859154637	0.0197426890202694	0.043074957862406	-0.0133047138652155	0.00431487720893842	0.00218984245208397	0.0153288971645878	0.0111688213899795	0.00641336335751462	0.0823758633126068	0.288315521594124	0.00966947805927505	0.0482373268504778	0.841226867463873	0.945306934642554	-0.0110277129912655	0.0414673541622888	0.790426308646059	0.945306934642554	-0.0943527645363199	0.0744290030320954	0.205656109995281	0.359898192491742	-0.00455627283750318	0.0663744322445356	0.945306934642554	0.945306934642554	0.0471920031831695	0.0355154798403763	0.184690023868557	0.359898192491742
Linoleic	Omega-6	4.6488802372431	5.09711735972029e-05	0.000407769388777623	-0.00816083077464759	0.00242832151682205	0.000853228538150919	0.00597259976705643	0.00768325307706699	0.00360930508149557	0.0338944354642883	0.0790870160833393	0.0311250853409705	0.0271469460271877	0.252265447645654	0.353171626703915	-0.0275580158079466	0.023336948766322	0.238362995962454	0.353171626703915	-0.124591204256905	0.0418870667197775	0.00311525339662038	0.0109033868881713	-0.0180276030776622	0.0373541248525836	0.629637571389063	0.734577166620573	0.00456002882394736	0.0199873599410871	0.819651083199346	0.819651083199346
