Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Docosahexaenoic	Omega-3	0.781811751980566	0.79867530111042	1.50354614353271e-06	9.02127686119624e-06	0.239529629726247	0.479059259452493	0.474709980681903	0.712064971022854	0.00106663234495863	0.00319989703487588	0.79867530111042	0.79867530111042
Docosapentaenoicn3	Omega-3	0.803490840169679	0.803490840169679	0.0295726017398895	0.0887178052196687	0.0982742806782144	0.147411421017322	0.0687454884675828	0.137490976935166	0.00746811963578735	0.0448087178147241	0.718905554401177	0.803490840169679
Eicosapentaenoic	Omega-3	0.690499552382077	0.761392940589311	0.0155002658505199	0.0611827604498819	0.370953948491579	0.556430922737368	0.761392940589311	0.761392940589311	0.020394253483294	0.0611827604498819	0.147236551332167	0.294473102664334
Arachidonic	Omega-6	0.359229517933471	0.431075421520165	3.52345723293949e-06	2.11407433976369e-05	0.000104735954633712	0.000314207863901136	0.255960106749137	0.383940160123706	0.701749632320321	0.701749632320321	0.157513034097188	0.315026068194376
Dihomoglinolenic	Omega-6	0.68814937981693	0.68814937981693	7.04129468730233e-08	4.2247768123814e-07	0.357364472492503	0.536046708738755	0.175171992196077	0.525515976588232	0.681637813862613	0.68814937981693	0.275094419325511	0.536046708738755
Docosapentaenoicn6	Omega-6	0.767089098381932	0.855652028753184	0.000716156020931433	0.0021484680627943	0.1642359567042	0.3284719134084	0.000532284607084307	0.0021484680627943	0.489063392651259	0.733595088976889	0.855652028753184	0.855652028753184
Docosatetraenoic	Omega-6	0.379926999087124	0.530543010366377	0.00473696027392877	0.0142108808217863	0.0724865420006288	0.144973084001258	0.000442826902817193	0.00265696141690316	0.747188680406089	0.747188680406089	0.442119175305314	0.530543010366377
Eicosadienoic	Omega-6	0.315594172786629	0.393382646619263	0.00709993972200186	0.0268710627454836	0.181799264513443	0.363598529026886	0.327818872182719	0.393382646619263	0.0089570209151612	0.0268710627454836	0.457566284750834	0.457566284750834
gammaLinolenic	Omega-6	0.299594304955214	0.398403535535172	0.000126360958155901	0.000758165748935406	0.33200294627931	0.398403535535172	0.033068675427727	0.099206026283181	0.858161573234634	0.858161573234634	0.0860751242929351	0.17215024858587
Linoleic	Omega-6	0.626853934852073	0.626853934852073	0.000911749593212088	0.00547049755927253	0.0114302918781952	0.0342908756345857	0.105216433212579	0.157824649818868	0.0201429963814227	0.0402859927628454	0.365113281954736	0.438135938345683
Elaidic	trans	0.263607002780098	0.395410504170147	0.00419775445269417	0.025186526716165	0.408431506086126	0.490117807303351	0.5152675020257	0.5152675020257	0.245452554898512	0.395410504170147	0.0906357377644937	0.271907213293481
Palmitelaidic	trans	0.0471540424900618	0.141462127470185	0.000449360830966933	0.0026961649858016	0.107493804019687	0.214987608039374	0.615805010346033	0.738966012415239	0.832262584486128	0.832262584486128	0.373066950947173	0.55960042642076
Linoelaidic	trans	0.184648387219359	0.276972580829038	0.000806532092541062	0.00483919255524637	0.142622013950247	0.276972580829038	0.294619537127372	0.331957126264166	0.331957126264166	0.331957126264166	0.174517211273221	0.276972580829038
